Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
320000,1.2172309,7426.285714285715,9.961945,7427.285714285715,7427.285714285715,0.093582,0.24211669,3.6996847e-05,0.17399359,0.000117290685,1.0
330000,1.2109805,None,9.999374,None,None,5.5708726e-05,0.24225846,3.499626e-05,0.1699924,0.00011148898,1.0
340000,1.2068695,None,9.998996,None,None,5.4697346e-05,0.23970178,3.299946e-05,0.1659988,0.00010569827,1.0
350000,1.2065905,10450.333333333334,9.989562,10451.333333333334,10451.333333333334,0.051593993,0.23935103,3.1002677e-05,0.16200525,9.990759e-05,1.0
360000,1.2048285,None,10.003286,None,None,0.00021726091,0.24850556,2.9007066e-05,0.15801398,9.412031e-05,1.0
370000,1.2017434,None,9.999981,None,None,2.4236917e-05,0.23890847,2.7010274e-05,0.15402041,8.832959e-05,1.0
380000,1.2020371,None,10.000082,None,None,2.6960706e-05,0.23410591,2.5000674e-05,0.1500012,8.250174e-05,1.0
390000,1.2019616,None,10.000996,None,None,2.3014236e-05,0.24098031,2.2991075e-05,0.14598201,7.66739e-05,1.0
400000,1.2001265,None,9.998615,None,None,4.1013867e-05,0.24120083,2.0994277e-05,0.1419884,7.088319e-05,1.0
410000,1.1974491,None,10.00094,None,None,1.9614916e-05,0.23228897,1.899748e-05,0.1379948,6.5092456e-05,1.0
